confed,1,1,0,Sol/Sol
confed,1,1,0,Sol/Alpha_Centauri
confed,1,1,0,Sol/Proxima_Centauri
confed,1,1,0,Sol
confed,1,1,0,Vega/Alpha_Lyrae
confed,1,1,0,Magellan
confed,1,1,0,Torkelsen
confed,1,1,0,Vormund
confed,1,1,0,Baja
confed,1,1,0,Plymouth
confed,1,1,0,Rhubarb
confed,1,1,0,Caldera
confed,1,1,0,Beckett
confed,1,1,0,Crucible
confed,1,1,0,Redemption
confed,1,1,0,Solace
confed,1,1,0,Rust
confed,1,1,0,Thanatos
purist,0.05,200,0,Sol
aera,0.1,625,0,Aeneth
rlaan,0.06,1500,0,Aantlbzz
uln,0.3,25,0,Ingatwa
shmrn,0.01,5,0,Redemption
andolian,0.05,120,0,Magellan
shaper,0.008,40,1,Beckett
shaper,0.008,40,1,Caldera
highborn,0.05,20,0,Vega
mechanist,0.02,20,0,Torkelsen
unadorned,0.03,25,0,Torkelsen
LIHW,0.002,100,2,Rhubarb
merchant,1,1,0,Sol
klkk,0.002,15,1,Crucible
dgn,1,1,0,Beckett
forsaken,0.00002,20,0,Diaspora
andolian,0.001,10,0,Crucible
andolian,0.001,5,0,Redemption
unadorned,0.003,10,0,Solace
rlaan,0.15,30,0,Eebzpt
rlaan,0.15,45,0,Bzzeen
rlaan,0.15,45,0,Ahbzeentk
LIHW,0.1,20,0,Rust
rlaan,0.1,10,0,Bztutpt
rlaan,0.1,5,0,Ahbz
rlaan,0.1,35,0,Bzzahbtktk
LIHW,0.1,20,0,Thanatos
rlaan,0.15,10,0,Tutbzzaz
rlaan,0.15,10,0,Izzptipt
aera,0.08,50,0,Mahgoh
aera,0.01,10,0,Miyeeldah
aera,0.08,50,0,Ouulneh
aera,0.3,5,0,Ingatwa
aera,0.3,25,0,Eilgohall
aera,0.3,25,0,Eeruu
